Designator,Mid X,Mid Y,Rotation,Layer
BT1,146.475,-66.34,0.0,bottom
C1,147.8,-63.6,0.0,top
C2,152.7,-73.1,90.0,top
C3,143.675,-68.390001,90.0,top
C4,144.275,-60.790001,90.0,top
C5,138.475,-60.790002,90.0,top
D1,148.5,-61.3,0.0,top
F1,147.6,-59.2,180.0,top
J1,162.175,-68.57,0.0,top
R1,141.075,-72.690001,90.0,top
R2,139.475,-72.690001,90.0,top
R3,142.675,-72.690001,90.0,top
R4,137.875,-72.690001,90.0,top
U1,149.075,-69.190001,90.0,top
U2,140.075,-66.190001,180.0,top
Y1,141.375,-61.090001,180.0,top
